Province_State,Country_Region,Lat,Long,Month,TrendlineCoef,Cluster
Ukraine,Ukraine,48.3794,31.1656,6,729.5581665039062,0
Panama,Panama,8.538,-80.7821,6,688.864990234375,0
Belarus,Belarus,53.7098,27.9534,6,657.3472900390625,0
Philippines,Philippines,12.879721,121.774017,6,628.1448364257812,0
Kuwait,Kuwait,29.31166,47.481766,6,611.9301147460938,0
Ecuador,Ecuador,-1.8312,-78.1834,6,569.5223388671875,0
Afghanistan,Afghanistan,33.93911,67.709953,6,553.8681030273438,0
Armenia,Armenia,40.0691,45.0382,6,547.3248291015625,0
Nigeria,Nigeria,9.082,8.6753,6,542.52392578125,0
Dominican Republic,Dominican Republic,18.7357,-70.1627,6,523.3228149414062,0
Bahrain,Bahrain,26.0275,50.55,6,515.9537353515625,0
Honduras,Honduras,15.2,-86.2419,6,488.7886657714844,0
Guatemala,Guatemala,15.7835,-90.2308,6,448.3757629394531,0
United Arab Emirates,United Arab Emirates,23.424076,53.847818,6,446.1043395996094,0
Germany,Germany,51.165691,10.451526,6,439.1637268066406,0
Nepal,Nepal,28.1667,84.25,6,418.102783203125,0
Azerbaijan,Azerbaijan,40.1431,47.5769,6,402.410888671875,0
Kazakhstan,Kazakhstan,48.0196,66.9237,6,378.66851806640625,0
Poland,Poland,51.9194,19.1451,6,367.06964111328125,0
France,France,46.2276,2.2137,6,354.46807861328125,0
Spain,Spain,40.463667,-3.74922,6,335.01312255859375,0
Portugal,Portugal,39.3999,-8.2245,6,327.5079040527344,0
Ghana,Ghana,7.9465,-1.0232,6,327.3546142578125,0
Moldova,Moldova,47.4116,28.3699,6,304.9928894042969,0
Singapore,Singapore,1.2833,103.8333,6,282.9385986328125,0
Romania,Romania,45.9432,24.9668,6,264.4022216796875,0
Israel,Israel,31.046051,34.851612,6,261.22979736328125,0
US,US,40.0,-100.0,7,62809.59765625,2
Brazil,Brazil,-14.235,-51.9253,7,38972.0625,0
India,India,20.593684,78.96288,7,35820.73046875,0
South Africa,South Africa,-30.5595,22.9375,7,11546.6064453125,3
Colombia,Colombia,4.5709,-74.2973,7,6455.109375,3
Mexico,Mexico,23.6345,-102.5528,7,6350.62109375,3
Russia,Russia,61.52401,105.318756,7,6195.76513671875,3
Argentina,Argentina,-38.4161,-63.6167,7,4096.89599609375,3
Peru,Peru,-9.19,-75.0152,7,3904.74072265625,3
Bangladesh,Bangladesh,23.685,90.3563,7,2915.62255859375,1
Saudi Arabia,Saudi Arabia,23.885942,45.079162,7,2699.263427734375,1
Iran,Iran,32.427908,53.688046,7,2429.1416015625,1
Chile,Chile,-35.6751,-71.543,7,2406.51220703125,1
Iraq,Iraq,33.223191,43.679291,7,2379.46484375,1
Pakistan,Pakistan,30.3753,69.3451,7,1992.85400390625,1
Philippines,Philippines,12.879721,121.774017,7,1741.480224609375,1
Indonesia,Indonesia,-0.7893,113.9213,7,1674.506103515625,1
Kazakhstan,Kazakhstan,48.0196,66.9237,7,1658.256103515625,1
Israel,Israel,31.046051,34.851612,7,1558.4306640625,1
Bolivia,Bolivia,-16.2902,-63.5887,7,1446.3040771484375,1
Oman,Oman,21.512583,55.923255,7,1366.7044677734375,1
Spain,Spain,40.463667,-3.74922,7,1227.4476318359375,1
Dominican Republic,Dominican Republic,18.7357,-70.1627,7,1207.6669921875,1
Kyrgyzstan,Kyrgyzstan,41.20438,74.766098,7,1186.9564208984375,1
Guatemala,Guatemala,15.7835,-90.2308,7,1047.2132568359375,1
Panama,Panama,8.538,-80.7821,7,1043.7044677734375,1
Turkey,Turkey,38.9637,35.2433,7,973.9229736328125,1
Ecuador,Ecuador,-1.8312,-78.1834,7,902.5330810546875,1
Ukraine,Ukraine,48.3794,31.1656,7,817.630615234375,1
Egypt,Egypt,26.820553,30.802498,7,796.3862915039062,1
Romania,Romania,45.9432,24.9668,7,771.600830078125,1
Honduras,Honduras,15.2,-86.2419,7,731.08349609375,1
United Kingdom,United Kingdom,55.3781,-3.436,7,666.8890991210938,1
Kuwait,Kuwait,29.31166,47.481766,7,660.2903442382812,1
Ghana,Ghana,7.9465,-1.0232,7,579.6282348632812,1
Nigeria,Nigeria,9.082,8.6753,7,565.2133178710938,1
France,France,46.2276,2.2137,7,558.973388671875,1
Algeria,Algeria,28.0339,1.6596,7,545.3237915039062,1
Japan,Japan,36.204824,138.252924,7,545.0629272460938,1
Uzbekistan,Uzbekistan,41.377491,64.585262,7,509.5302429199219,1
Costa Rica,Costa Rica,9.7489,-83.7534,7,482.35968017578125,1
Kenya,Kenya,-0.0236,37.9062,7,464.26654052734375,1
Bahrain,Bahrain,26.0275,50.55,7,461.6713562011719,1
Azerbaijan,Azerbaijan,40.1431,47.5769,7,461.34637451171875,1
Qatar,Qatar,25.3548,51.1839,7,446.77984619140625,1
Germany,Germany,51.165691,10.451526,7,435.84234619140625,1
Armenia,Armenia,40.0691,45.0382,7,411.9681396484375,1
Venezuela,Venezuela,6.4238,-66.5897,7,403.6580505371094,1
Ethiopia,Ethiopia,9.145,40.4897,7,385.87823486328125,1
Serbia,Serbia,44.0165,21.0059,7,359.383056640625,1
India,India,20.593684,78.96288,8,64459.72265625,3
US,US,40.0,-100.0,8,48536.5546875,0
Brazil,Brazil,-14.235,-51.9253,8,40652.78515625,0
Colombia,Colombia,4.5709,-74.2973,8,10613.630859375,2
Peru,Peru,-9.19,-75.0152,8,7699.90380859375,2
Argentina,Argentina,-38.4161,-63.6167,8,7228.54248046875,2
Mexico,Mexico,23.6345,-102.5528,8,5599.9091796875,2
Spain,Spain,40.463667,-3.74922,8,5570.73681640625,2
Russia,Russia,61.52401,105.318756,8,4920.6318359375,2
Philippines,Philippines,12.879721,121.774017,8,4113.68798828125,2
South Africa,South Africa,-30.5595,22.9375,8,3971.674560546875,2
Iraq,Iraq,33.223191,43.679291,8,3716.577880859375,2
France,France,46.2276,2.2137,8,2907.517822265625,1
Bangladesh,Bangladesh,23.685,90.3563,8,2567.435546875,1
Iran,Iran,32.427908,53.688046,8,2290.802734375,1
Indonesia,Indonesia,-0.7893,113.9213,8,2110.48095703125,1
Chile,Chile,-35.6751,-71.543,8,1785.077392578125,1
Ukraine,Ukraine,48.3794,31.1656,8,1724.8592529296875,1
Israel,Israel,31.046051,34.851612,8,1465.6488037109375,1
Saudi Arabia,Saudi Arabia,23.885942,45.079162,8,1309.7391357421875,1
Morocco,Morocco,31.7917,-7.0926,8,1302.2738037109375,1
Bolivia,Bolivia,-16.2902,-63.5887,8,1292.443603515625,1
Turkey,Turkey,38.9637,35.2433,8,1268.9786376953125,1
Romania,Romania,45.9432,24.9668,8,1200.172607421875,1
Ethiopia,Ethiopia,9.145,40.4897,8,1191.068115234375,1
Kazakhstan,Kazakhstan,48.0196,66.9237,8,1188.5423583984375,1
Germany,Germany,51.165691,10.451526,8,1157.820556640625,1
United Kingdom,United Kingdom,55.3781,-3.436,8,1054.4705810546875,1
Japan,Japan,36.204824,138.252924,8,1029.27978515625,1
Ecuador,Ecuador,-1.8312,-78.1834,8,976.9036254882812,1
Venezuela,Venezuela,6.4238,-66.5897,8,938.1508178710938,1
Panama,Panama,8.538,-80.7821,8,878.9798583984375,1
Guatemala,Guatemala,15.7835,-90.2308,8,818.1919555664062,1
Dominican Republic,Dominican Republic,18.7357,-70.1627,8,794.837890625,1
Costa Rica,Costa Rica,9.7489,-83.7534,8,760.2399291992188,1
Poland,Poland,51.9194,19.1451,8,713.3858642578125,1
Italy,Italy,41.87194,12.56738,8,684.9761962890625,1
Nepal,Nepal,28.1667,84.25,8,642.461669921875,1
Kuwait,Kuwait,29.31166,47.481766,8,606.8858642578125,1
Pakistan,Pakistan,30.3753,69.3451,8,598.2156982421875,1
Uzbekistan,Uzbekistan,41.377491,64.585262,8,580.651611328125,1
Honduras,Honduras,15.2,-86.2419,8,579.2249755859375,1
Netherlands,Netherlands,52.1326,5.2913,8,549.3406982421875,1
Belgium,Belgium,50.8333,4.469936,8,546.4472045898438,1
Algeria,Algeria,28.0339,1.6596,8,451.4903259277344,1
Lebanon,Lebanon,33.8547,35.8623,8,430.8959655761719,1
Kenya,Kenya,-0.0236,37.9062,8,428.3753967285156,1
Paraguay,Paraguay,-23.4425,-58.4438,8,421.54193115234375,1
Moldova,Moldova,47.4116,28.3699,8,410.8241882324219,1
Nigeria,Nigeria,9.082,8.6753,8,374.96533203125,1
India,India,20.593684,78.96288,9,89010.3671875,2
US,US,40.0,-100.0,9,39957.3359375,3
Brazil,Brazil,-14.235,-51.9253,9,29042.130859375,3
Argentina,Argentina,-38.4161,-63.6167,9,10993.115234375,0
Spain,Spain,40.463667,-3.74922,9,10294.375,0
France,France,46.2276,2.2137,9,9445.169921875,0
Colombia,Colombia,4.5709,-74.2973,9,7040.10009765625,0
Russia,Russia,61.52401,105.318756,9,5839.54736328125,0
Peru,Peru,-9.19,-75.0152,9,5664.052734375,0
Mexico,Mexico,23.6345,-102.5528,9,4630.3203125,1
Israel,Israel,31.046051,34.851612,9,4486.31591796875,1
Iraq,Iraq,33.223191,43.679291,9,4252.01513671875,1
United Kingdom,United Kingdom,55.3781,-3.436,9,3948.1162109375,1
Indonesia,Indonesia,-0.7893,113.9213,9,3796.56005859375,1
Philippines,Philippines,12.879721,121.774017,9,3209.754150390625,1
Ukraine,Ukraine,48.3794,31.1656,9,3030.698974609375,1
Iran,Iran,32.427908,53.688046,9,2772.913330078125,1
